date,member01,member02,member03,member04,member05,member06,member07,member08,member09,member10,member11,member12,member13,member14,member15,member16,member17,member18,member19,member20,member21,member22,member23,member24,member25,member26,member27,member28,member29,member30,member31,member32,member33,member34,member35,member36,member37,member38,member39,member40,member41,member42,member43,member44,member45,member46,member47,member48,member49,member50,init_date,n_gridpoints
2026-09-16,16.2265,16.4127,16.1683,16.0452,16.1977,16.2927,16.1987,16.2041,16.0884,16.1473,16.2155,16.1072,16.2403,16.2365,16.3066,16.2652,16.1591,16.1843,16.174,16.1959,16.0652,15.9991,16.0354,16.1141,16.0929,16.1667,16.1428,16.3909,16.024,15.9932,16.2123,16.0449,16.0756,16.2494,16.1018,16.1934,16.1682,16.0131,16.0407,16.1975,16.2343,16.2245,16.0775,16.3242,16.3205,15.8592,16.0713,16.4914,16.1721,16.078,2026-08-17,432
2026-09-17,16.1513,16.3286,16.1865,16.0257,16.1817,16.2787,16.1675,16.2835,16.0942,16.1533,16.0935,16.0724,16.2536,16.1513,16.1479,16.2149,16.0804,16.1863,16.2121,16.1934,16.0509,15.9543,16.0575,16.1435,16.0931,16.1944,16.0596,16.3671,16.0087,15.8957,16.1897,15.9678,16.1112,16.173,16.0516,16.1655,16.134,15.9127,16.0453,16.2183,16.1951,16.1523,16.1111,16.3026,16.3111,15.8563,16.0927,16.4901,16.1268,16.11,2026-08-17,432
2026-09-18,16.097,16.2902,16.1548,16.1166,16.1106,16.2797,16.1614,16.2281,16.1386,16.174,15.972,16.0518,16.1991,16.0451,16.0642,16.2117,16.0839,16.1297,16.2983,16.1208,16.0697,15.9839,16.0529,16.1687,16.0479,16.0593,16.0815,16.2794,15.9588,15.9093,16.106,15.9566,16.0985,16.0932,16.0407,16.0571,16.1161,15.8092,15.9378,16.121,16.1746,16.1069,16.1541,16.1899,16.2495,15.8373,16.092,16.4152,16.0517,16.1551,2026-08-17,432
2026-09-19,16.1118,16.2886,16.0555,16.1149,16.1583,16.2552,16.1526,16.137,16.2146,16.1941,15.9681,16.04,16.1378,16.0252,15.9732,16.1176,16.0718,16.1937,16.2435,16.0695,16.1385,15.9608,16.1182,16.1555,15.9432,16.0734,16.1096,16.2114,15.8951,15.9435,16.0506,15.9804,16.0925,15.9678,16.0455,16.0893,16.0772,15.794,15.8799,16.0933,16.0332,16.1392,16.0601,16.1109,16.2181,15.8385,16.1511,16.239,16.0573,16.0616,2026-08-17,432
2026-09-20,16.128,16.2433,16.0694,16.0429,16.2163,16.167,16.1226,16.0823,16.1899,16.076,16.041,16.0214,16.1017,16.1019,16.0129,16.154,16.0173,16.2089,16.2087,16.0281,16.0696,15.9047,16.0699,16.1264,15.8829,16.1424,16.0678,16.1861,15.7943,15.8412,16.0338,15.9994,16.0784,15.8962,15.9747,16.2011,16.1209,15.7887,15.8614,16.0311,15.9478,16.1305,16.0562,16.0792,16.2158,15.8887,16.1194,16.208,16.0098,16.0534,2026-08-17,432
2026-09-21,16.15,16.1085,16.0648,16.0175,16.1604,16.0902,16.1178,16.0982,16.2211,15.9975,16.1139,15.9807,16.0373,16.0947,16.0349,16.1548,16.0271,16.1595,16.1628,16.0641,16.0035,15.8416,16.194,15.8973,15.8459,16.109,16.0315,16.1228,15.7926,15.7165,16.0282,15.8386,16.0871,15.8675,15.8767,16.2467,16.1752,15.8185,15.8566,16.0505,16.0,16.1253,15.9966,16.0656,16.2222,15.7657,16.1511,16.2574,16.0296,15.9984,2026-08-17,432
2026-09-22,16.0386,16.0031,16.0178,15.9989,16.1865,16.0061,16.0962,16.1377,16.1298,15.8579,16.0959,16.036,16.0269,16.132,16.0568,16.0413,16.0531,16.2201,16.1352,16.0952,15.9077,15.7842,16.2299,15.9671,15.9098,16.0187,15.9826,16.1269,15.8192,15.7912,16.0545,15.8345,16.0573,15.8695,15.8099,16.2789,16.066,15.8849,15.8091,16.0501,16.0384,16.0739,16.1154,15.9102,16.1979,15.779,16.034,16.2746,15.9249,15.9134,2026-08-17,432
2026-09-23,15.9489,16.0355,15.961,15.9224,16.1103,15.8887,16.0646,16.0167,16.0228,15.8386,16.2015,16.0508,15.9376,16.0182,16.059,15.8925,16.1258,16.3032,16.036,16.1114,15.8959,15.6938,16.236,16.1309,15.9471,15.9714,16.0098,16.1401,15.8097,15.7308,16.0188,15.8247,15.9817,15.8917,15.874,16.1797,15.9716,15.906,15.7847,16.0042,16.0219,16.0247,16.1359,15.9257,16.0445,15.7791,15.997,16.293,15.9572,15.7954,2026-08-17,432
2026-09-24,15.8682,15.9384,15.8948,15.8254,16.03,15.8281,16.048,15.943,15.9339,15.8927,16.2261,16.0673,15.8629,15.9349,16.0688,15.9665,16.1347,16.2468,15.9992,16.0071,15.8552,15.6558,16.1822,16.1539,15.9797,16.0009,16.0395,16.1059,15.7712,15.7464,15.9775,15.8751,15.9264,15.9088,15.8544,15.99,16.0172,15.8713,15.8214,15.9039,15.9226,15.9714,16.0145,15.9981,15.9017,15.7161,15.9862,16.294,15.9459,15.7223,2026-08-17,432
2026-09-25,15.8093,15.8247,15.9442,15.76,15.9631,15.7715,16.0297,15.9294,15.9455,15.8437,16.2503,16.1091,15.7905,15.8853,16.0271,16.0043,16.1235,16.256,15.9674,15.974,15.7894,15.6486,16.0796,16.0862,16.0432,15.9231,15.9745,16.1014,15.655,15.6916,15.9304,15.8584,15.9152,15.8414,15.9532,15.9082,16.0474,15.9184,15.9252,15.8288,15.9251,15.9858,15.9992,15.9091,15.8555,15.7796,15.993,16.1704,15.9954,15.6838,2026-08-17,432
2026-09-26,15.8554,15.8095,15.8568,15.7247,15.9483,15.7116,15.9343,15.9304,15.8555,15.8382,16.2661,16.1204,15.7426,15.8085,16.0175,16.0199,15.9678,16.2816,15.9877,15.9782,15.8079,15.6502,15.992,15.9963,15.9022,15.7848,15.9023,16.0064,15.5822,15.7026,15.9037,15.8988,15.8882,15.7863,15.9132,15.8511,15.954,15.8526,15.9343,15.7934,15.8628,15.9297,15.9719,15.7402,15.8849,15.7762,15.9212,16.1486,15.9336,15.6452,2026-08-17,432
2026-09-27,15.8592,15.7413,15.7323,15.707,15.9055,15.6912,15.8235,15.8809,15.7514,15.8107,16.2079,16.0671,15.7315,15.7637,15.8699,16.0096,15.906,16.1765,15.9735,16.0093,15.7152,15.5439,15.8727,15.8641,15.9029,15.7029,15.8522,16.0041,15.5742,15.684,15.7736,15.9571,15.8546,15.7565,15.9388,15.8596,15.96,15.8091,15.9256,15.7083,15.7208,15.9549,15.8909,15.6522,15.9134,15.7552,15.8231,16.1246,15.8215,15.6763,2026-08-17,432
2026-09-28,15.8753,15.7506,15.7627,15.7013,15.825,15.6275,15.747,15.93,15.812,15.7894,16.0981,16.1106,15.6737,15.7248,15.7647,16.0445,15.9364,16.1104,16.0468,15.8607,15.7345,15.5093,15.836,15.8117,15.9463,15.7231,15.8448,15.9249,15.5213,15.6809,15.734,15.9866,15.7872,15.7806,15.8711,15.8414,15.9328,15.7176,15.8986,15.7118,15.7838,15.9461,15.7827,15.6945,15.9778,15.7979,15.8438,15.9461,15.7749,15.7383,2026-08-17,432
2026-09-29,15.862,15.6901,15.8475,15.7776,15.8123,15.5597,15.6172,15.9155,15.7718,15.8574,16.1366,16.0504,15.6643,15.8049,15.7049,15.9582,15.891,15.9715,15.8985,15.8326,15.6983,15.5506,15.792,15.6501,15.8853,15.6578,15.7467,15.9273,15.603,15.584,15.7482,15.9837,15.7551,15.7474,15.8597,15.8199,15.8758,15.6797,15.9347,15.6544,15.8106,15.9278,15.7271,15.6903,15.9974,15.6899,15.8242,15.8792,15.7628,15.6421,2026-08-17,432
2026-09-30,15.8365,15.6104,15.766,15.7479,15.7455,15.6033,15.5549,15.8414,15.7516,15.8948,16.075,16.058,15.6109,15.8567,15.7199,15.9333,15.7927,15.9568,15.8516,15.853,15.6537,15.5967,15.8647,15.6183,15.8511,15.6381,15.6145,15.9614,15.5897,15.6057,15.7219,15.8883,15.774,15.649,15.7663,15.7851,15.8516,15.5907,15.9292,15.6322,15.7244,15.8498,15.7669,15.682,15.8156,15.7571,15.8114,15.9205,15.733,15.6912,2026-08-17,432
