date,nino34,tropics,nino12,nino3,nino4
1982-09-12,27.7581,26.4266,22.0191,26.1414,29.2947
1982-09-13,27.7114,26.4295,21.9615,26.0862,29.2776
1982-09-14,27.7045,26.4361,21.9538,26.1159,29.1214
1982-09-15,27.8798,26.5064,21.8533,26.2964,29.118
1982-09-16,28.0653,26.5351,21.7831,26.3967,29.1668
1982-09-17,28.3142,26.5621,21.6251,26.5072,29.2514
1982-09-18,28.4926,26.5889,21.6422,26.615,29.3318
1982-09-19,28.5692,26.5843,21.7198,26.5538,29.4104
1982-09-20,28.4254,26.5815,21.8084,26.4913,29.2556
1982-09-21,28.2835,26.5507,21.781,26.5363,29.1035
1982-09-22,28.2048,26.5228,21.8196,26.5975,29.0115
1982-09-23,28.2479,26.514,21.8393,26.7008,28.9803
1982-09-24,28.258,26.4868,21.8932,26.7253,28.9527
1982-09-25,28.2347,26.4884,22.0073,26.6861,28.9448
1982-09-26,28.5075,26.5624,22.1531,26.9725,28.8656
1982-09-27,28.4601,26.5884,22.1763,27.0773,28.8229
1982-09-28,28.426,26.5851,22.1383,27.0666,28.82
1982-09-29,28.6816,26.6465,22.2313,27.1368,28.973
1982-09-30,28.7308,26.672,22.2666,27.1529,29.0023
1982-10-01,28.7235,26.6933,22.2705,27.2096,28.9063
1982-10-02,28.5842,26.7139,22.3164,27.172,28.7759
1982-10-03,28.5732,26.72,22.2364,27.1905,28.7592
1982-10-04,28.641,26.7307,22.0999,27.2355,28.8651
1982-10-05,28.6951,26.7293,22.1251,27.1537,29.0626
1982-10-06,28.6887,26.7326,22.0491,27.0459,29.2007
1982-10-07,28.6363,26.7426,22.1879,27.0728,29.1913
1982-10-08,28.6732,26.7887,22.3248,27.0659,29.2973
1982-10-09,28.652,26.8023,22.3157,27.0412,29.2284
1982-10-10,28.5449,26.7798,22.2898,26.9303,29.0506
1982-10-11,28.4851,26.76,22.244,26.8449,29.0364
1982-10-12,28.3927,26.7378,22.4137,26.62,29.1156
1982-10-13,28.4136,26.7514,22.5783,26.5823,29.1184
1982-10-14,28.462,26.7834,22.5662,26.6316,29.1854
1982-10-15,28.4949,26.8279,22.5913,26.684,29.3288
1982-10-16,28.7278,26.8824,22.7881,26.898,29.5348
1982-10-17,28.7225,26.9234,22.8222,26.9912,29.5937
1982-10-18,28.7497,26.9394,22.7683,27.168,29.5807
1982-10-19,28.7204,26.9342,22.6489,27.2359,29.4198
1982-10-20,28.5248,26.9484,22.666,27.1822,29.1857
1982-10-21,28.4116,26.9413,22.8641,27.0449,29.1035
1982-10-22,28.3912,26.9493,23.1218,27.0054,29.1417
1982-10-23,28.4056,26.9431,23.204,27.0193,29.117
1982-10-24,28.3623,26.9405,23.1431,26.9994,29.0755
1982-10-25,28.3452,26.9446,23.1694,26.9474,29.0996
1982-10-26,28.338,26.9563,23.2447,26.8963,29.2028
1982-10-27,28.3468,26.9618,23.2536,26.9084,29.2183
1982-10-28,28.3467,26.9641,23.1662,26.9906,29.2358
1982-10-29,28.2956,26.9555,23.2306,26.975,29.1824
1982-10-30,28.3268,26.9551,23.2872,26.9752,29.0695
1982-10-31,28.2598,26.9675,23.4994,26.9098,28.886
1982-11-01,28.1919,26.99,23.7549,26.8726,28.701
1982-11-02,28.2984,27.0061,23.8396,26.9463,28.7275
1982-11-03,28.2952,26.9884,23.9837,27.0389,28.6587
1982-11-04,28.2979,26.9627,23.9738,27.098,28.6173
1982-11-05,28.3461,26.9396,23.7988,27.1181,28.7342
1982-11-06,28.3835,26.9229,23.8549,27.1117,28.8031
1982-11-07,28.4182,26.9299,23.9721,27.1113,28.8419
1982-11-08,28.5382,26.947,24.0334,27.1427,28.8327
1982-11-09,28.7431,26.9843,23.9713,27.2726,28.8194
1982-11-10,28.6728,26.9851,24.1107,27.3014,28.8197
1982-11-11,28.6024,26.9872,24.2944,27.3528,28.874
1982-11-12,28.5793,26.9805,24.4333,27.326,28.9033
1982-11-13,28.5257,26.963,24.4,27.2461,28.8649
1982-11-14,28.5238,26.983,24.3487,27.2129,28.863
1982-11-15,28.523,26.9859,24.3741,27.2748,28.8681
