source,model,model_type,init_date,target_month,lead_months,nino34_anom,member_id,temporal_resolution,anomaly_base_period
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.2713,ens_021,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.4819,ens_021,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,1.7409,ens_021,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,1.9498,ens_021,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.4713,ens_022,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,0.9285,ens_022,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.1725,ens_022,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.3979,ens_022,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,1.5618,ens_022,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,1.7518,ens_022,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.4581,ens_023,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,0.9476,ens_023,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.3666,ens_023,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.5873,ens_023,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,1.7506,ens_023,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,2.0104,ens_023,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.5248,ens_024,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,0.9131,ens_024,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.2485,ens_024,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.5737,ens_024,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,2.0176,ens_024,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,2.2102,ens_024,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.5319,ens_025,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,0.9608,ens_025,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.1836,ens_025,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.4228,ens_025,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,1.6583,ens_025,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,2.0619,ens_025,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.6118,ens_026,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,0.9345,ens_026,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.2616,ens_026,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.5876,ens_026,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,1.9393,ens_026,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,2.0828,ens_026,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.6071,ens_027,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,1.003,ens_027,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.1606,ens_027,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.4313,ens_027,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,1.9142,ens_027,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,2.1846,ens_027,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.5103,ens_028,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,0.9731,ens_028,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.3393,ens_028,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.7825,ens_028,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,1.9242,ens_028,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,2.084,ens_028,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.4716,ens_029,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,1.0388,ens_029,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.56,ens_029,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.7564,ens_029,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,2.1304,ens_029,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,2.442,ens_029,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.5726,ens_030,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,0.9686,ens_030,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.3268,ens_030,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.7881,ens_030,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,2.1948,ens_030,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,2.6456,ens_030,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.5901,ens_031,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,1.3198,ens_031,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.5008,ens_031,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.822,ens_031,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,2.0647,ens_031,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,2.3134,ens_031,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.4036,ens_032,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,0.8238,ens_032,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.0754,ens_032,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.608,ens_032,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,2.1315,ens_032,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,2.4636,ens_032,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.4285,ens_033,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,0.784,ens_033,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.2725,ens_033,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.4792,ens_033,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,1.6926,ens_033,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,1.7146,ens_033,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.479,ens_034,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,0.9933,ens_034,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.3349,ens_034,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.5471,ens_034,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,2.158,ens_034,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,2.5247,ens_034,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.5462,ens_035,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,1.0664,ens_035,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.466,ens_035,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.7178,ens_035,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,1.9149,ens_035,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,2.1193,ens_035,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.5844,ens_036,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,1.0222,ens_036,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.1857,ens_036,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.6847,ens_036,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,1.8215,ens_036,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,1.8602,ens_036,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.444,ens_037,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,0.9113,ens_037,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.2675,ens_037,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.6852,ens_037,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,2.0227,ens_037,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,2.2998,ens_037,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.5477,ens_038,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,0.8582,ens_038,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.1324,ens_038,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.4893,ens_038,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,1.6717,ens_038,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,1.8708,ens_038,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.4982,ens_039,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,0.8914,ens_039,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.23,ens_039,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.6589,ens_039,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,1.682,ens_039,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,1.9802,ens_039,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.4102,ens_040,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,0.943,ens_040,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.1839,ens_040,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.3463,ens_040,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,1.5253,ens_040,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,1.6585,ens_040,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.5808,ens_041,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,0.8329,ens_041,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.2828,ens_041,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-07,3,1.6774,ens_041,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-08,4,2.0957,ens_041,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-09,5,2.5828,ens_041,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-04,0,0.5352,ens_042,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-05,1,1.0731,ens_042,monthly,1993-2016
C3S,ECMWF,dynamical,2026-04-01,2026-06,2,1.4605,ens_042,monthly,1993-2016
