date,member01,member02,member03,member04,member05,member06,member07,member08,member09,member10,member11,member12,member13,member14,member15,member16,member17,member18,member19,member20,member21,member22,member23,member24,member25,member26,member27,member28,member29,member30,member31,member32,member33,member34,member35,member36,member37,member38,member39,member40,member41,member42,member43,member44,member45,member46,member47,member48,member49,member50,init_date,n_gridpoints
2026-08-31,16.5847,16.4673,16.7736,16.5472,16.612,16.5679,16.6631,16.5621,16.5035,16.6793,16.454,16.526,16.5094,16.8893,16.5893,16.337,16.4778,16.5171,16.8643,16.7773,16.2387,16.6021,16.4694,16.6167,16.3714,16.5979,16.4506,16.545,16.4915,16.6083,16.8219,16.5967,16.5236,16.5928,16.4696,16.289,16.6462,16.5279,16.5168,16.5398,16.4776,16.1889,16.4962,16.5903,16.3544,16.3539,16.366,16.5116,16.6465,16.4848,2026-08-11,432
2026-09-01,16.6231,16.3948,16.7445,16.5495,16.5362,16.6201,16.6163,16.4595,16.4936,16.6778,16.3892,16.3751,16.4306,16.7802,16.6146,16.2509,16.398,16.4349,16.8036,16.7465,16.1906,16.4954,16.4188,16.6515,16.4074,16.6417,16.4448,16.434,16.4933,16.4688,16.7526,16.6178,16.4409,16.5741,16.5231,16.3022,16.5667,16.4942,16.4799,16.479,16.3833,16.1566,16.44,16.5799,16.4276,16.3647,16.316,16.6087,16.5966,16.5981,2026-08-11,432
2026-09-02,16.6476,16.338,16.6497,16.5167,16.5107,16.4972,16.5519,16.3582,16.4937,16.6825,16.3911,16.3279,16.4345,16.7565,16.4774,16.299,16.3047,16.4634,16.7207,16.6679,16.2526,16.4634,16.4391,16.5828,16.418,16.5412,16.4472,16.3704,16.4938,16.4559,16.7451,16.6493,16.2542,16.4763,16.6041,16.3197,16.588,16.4346,16.4073,16.4157,16.3805,16.2078,16.4221,16.4109,16.4829,16.3264,16.3388,16.6036,16.5472,16.6328,2026-08-11,432
2026-09-03,16.6056,16.2461,16.6094,16.5459,16.4985,16.4951,16.5932,16.2902,16.4047,16.6579,16.4101,16.3709,16.4604,16.7499,16.4205,16.2991,16.2969,16.3972,16.6362,16.601,16.2686,16.5115,16.4195,16.5928,16.3602,16.4441,16.3728,16.3401,16.5587,16.4332,16.6792,16.6142,16.2447,16.4175,16.6053,16.3454,16.6297,16.455,16.4469,16.311,16.4111,16.1991,16.4165,16.4104,16.5632,16.2308,16.351,16.4976,16.4256,16.5517,2026-08-11,432
2026-09-04,16.6215,16.2909,16.5938,16.4345,16.4672,16.4978,16.6631,16.2397,16.4106,16.6892,16.2724,16.4404,16.4717,16.5975,16.4471,16.2958,16.2453,16.4392,16.687,16.6537,16.3032,16.4376,16.4185,16.6066,16.3498,16.2225,16.4579,16.281,16.6137,16.3408,16.6825,16.5049,16.1882,16.3111,16.482,16.4267,16.5472,16.4814,16.4394,16.2666,16.4302,16.1967,16.421,16.4842,16.4599,16.1985,16.3734,16.504,16.4637,16.5724,2026-08-11,432
2026-09-05,16.7045,16.3594,16.5957,16.3698,16.4231,16.4549,16.7701,16.1867,16.4153,16.646,16.2473,16.38,16.3766,16.5749,16.4338,16.4703,16.1919,16.4132,16.7748,16.6126,16.2825,16.3963,16.3402,16.4848,16.2743,16.2892,16.4117,16.1466,16.5737,16.4247,16.6735,16.4201,16.1427,16.2843,16.4908,16.4497,16.4723,16.513,16.4561,16.153,16.4357,16.1646,16.4108,16.3327,16.4015,16.2762,16.3306,16.4501,16.3504,16.5145,2026-08-11,432
2026-09-06,16.7233,16.3669,16.5586,16.3541,16.4176,16.3685,16.6232,16.1799,16.3457,16.5041,16.3179,16.3699,16.3772,16.5403,16.4148,16.6144,16.2718,16.3666,16.7488,16.6687,16.2619,16.4666,16.3741,16.5267,16.3279,16.3222,16.4128,16.1321,16.6021,16.4305,16.565,16.4092,16.1596,16.3083,16.5175,16.4993,16.3544,16.4404,16.4549,16.2563,16.4482,16.2462,16.2573,16.2449,16.3113,16.3599,16.3069,16.4399,16.3188,16.4266,2026-08-11,432
2026-09-07,16.6507,16.3233,16.5152,16.3802,16.3295,16.3429,16.5452,16.1903,16.3251,16.4247,16.3293,16.3089,16.271,16.5074,16.3478,16.6556,16.3948,16.4025,16.666,16.7853,16.1736,16.5497,16.2836,16.5593,16.3908,16.4068,16.3404,16.1659,16.6105,16.4339,16.4649,16.4188,16.1525,16.3034,16.4067,16.5508,16.2982,16.3428,16.3772,16.2259,16.469,16.1839,16.0952,16.179,16.2039,16.3473,16.289,16.2842,16.342,16.349,2026-08-11,432
2026-09-08,16.6845,16.23,16.4577,16.3963,16.3195,16.2816,16.5049,16.2116,16.2936,16.3951,16.2113,16.2533,16.2988,16.3979,16.3018,16.5638,16.3332,16.3613,16.5431,16.648,16.1403,16.4645,16.2749,16.3528,16.3547,16.3828,16.2958,16.2358,16.6607,16.3527,16.5048,16.4051,16.1569,16.2993,16.3204,16.5016,16.2806,16.3989,16.356,16.1588,16.4517,16.2011,16.0464,16.0463,16.2449,16.3154,16.2487,16.1926,16.3674,16.3153,2026-08-11,432
2026-09-09,16.7265,16.1921,16.4481,16.4107,16.2155,16.2455,16.4702,16.3045,16.2021,16.385,16.176,16.2364,16.3524,16.3454,16.2457,16.5107,16.195,16.3176,16.4138,16.561,16.1749,16.2446,16.2302,16.4116,16.3499,16.3269,16.2794,16.2776,16.5981,16.3266,16.4171,16.4046,16.2078,16.2585,16.2461,16.3854,16.267,16.3065,16.318,16.2147,16.3783,16.187,16.1147,16.1035,16.2627,16.3109,16.1889,16.2436,16.3738,16.2835,2026-08-11,432
