source,model,model_type,init_date,target_month,lead_months,nino34_anom,tropical_mean_anom,roni_anom,member_id,temporal_resolution,anomaly_base_period
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-08,3,2.8027,0.8965,1.9062,ens_019,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-09,4,2.9441,1.0072,1.9369,ens_019,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-10,5,3.1441,1.0838,2.0603,ens_019,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-11,6,3.3363,1.086,2.2502,ens_019,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-12,7,3.4024,1.1193,2.2831,ens_019,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2027-01,8,2.2865,1.177,1.1094,ens_019,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-05,0,0.9293,0.6819,0.2474,ens_020,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-06,1,1.2767,0.7682,0.5085,ens_020,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-07,2,1.7144,0.9079,0.8065,ens_020,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-08,3,1.781,0.8428,0.9382,ens_020,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-09,4,2.0123,0.9442,1.0681,ens_020,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-10,5,2.3136,0.9778,1.3358,ens_020,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-11,6,3.0143,1.0147,1.9996,ens_020,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-12,7,2.9829,1.0602,1.9227,ens_020,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2027-01,8,2.3068,1.1049,1.2019,ens_020,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-05,0,0.9193,0.6471,0.2722,ens_021,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-06,1,1.4169,0.7678,0.6491,ens_021,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-07,2,2.0286,0.839,1.1896,ens_021,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-08,3,2.4887,0.9621,1.5266,ens_021,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-09,4,2.5983,0.9931,1.6052,ens_021,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-10,5,2.9492,1.0376,1.9116,ens_021,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-11,6,3.0774,1.1069,1.9705,ens_021,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-12,7,3.348,1.214,2.1341,ens_021,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2027-01,8,2.66,1.19,1.47,ens_021,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-05,0,0.9528,0.6544,0.2984,ens_022,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-06,1,1.547,0.7708,0.7762,ens_022,monthly,model-specific
