source,model,model_type,init_date,target_month,nino34_anom,member_id,lead_months,temporal_resolution,anomaly_base_period,roni_anom,tropical_mean_anom
CFS,CFSv2,dynamical,2026-05-14,2026-09,2.796159267425537,ens_E3_014,4,monthly,1991-2020,2.335970163345337,0.4601891040802002
CFS,CFSv2,dynamical,2026-05-14,2026-10,3.2386972904205322,ens_E3_014,5,monthly,1991-2020,2.7610161304473877,0.47768115997314453
CFS,CFSv2,dynamical,2026-05-14,2026-11,3.8570380210876465,ens_E3_014,6,monthly,1991-2020,3.2722394466400146,0.5847985744476318
CFS,CFSv2,dynamical,2026-05-14,2026-12,3.06181263923645,ens_E3_014,7,monthly,1991-2020,2.5074236392974854,0.5543889999389648
CFS,CFSv2,dynamical,2026-05-14,2027-01,2.1657602787017822,ens_E3_014,8,monthly,1991-2020,1.5059394836425781,0.6598207950592041
CFS,CFSv2,dynamical,2026-05-14,2027-02,2.2409794330596924,ens_E3_014,9,monthly,1991-2020,1.6659071445465088,0.5750722885131836
CFS,CFSv2,dynamical,2026-05-14,2026-06,1.3205467462539673,ens_E3_015,1,monthly,1991-2020,0.8706778883934021,0.4498688578605652
CFS,CFSv2,dynamical,2026-05-14,2026-07,1.9975289106369019,ens_E3_015,2,monthly,1991-2020,1.5349137783050537,0.46261513233184814
CFS,CFSv2,dynamical,2026-05-14,2026-08,2.7880284786224365,ens_E3_015,3,monthly,1991-2020,2.197786331176758,0.5902421474456787
CFS,CFSv2,dynamical,2026-05-14,2026-09,3.268728017807007,ens_E3_015,4,monthly,1991-2020,2.710369110107422,0.558358907699585
CFS,CFSv2,dynamical,2026-05-14,2026-10,3.9032821655273438,ens_E3_015,5,monthly,1991-2020,3.243643283843994,0.6596388816833496
CFS,CFSv2,dynamical,2026-05-14,2026-11,4.093389987945557,ens_E3_015,6,monthly,1991-2020,3.36771821975708,0.7256717681884766
CFS,CFSv2,dynamical,2026-05-14,2026-12,3.574599027633667,ens_E3_015,7,monthly,1991-2020,2.798513174057007,0.7760858535766602
CFS,CFSv2,dynamical,2026-05-14,2027-01,3.182023525238037,ens_E3_015,8,monthly,1991-2020,2.40108060836792,0.7809429168701172
CFS,CFSv2,dynamical,2026-05-14,2027-02,2.6718759536743164,ens_E3_015,9,monthly,1991-2020,1.7870796918869019,0.8847962617874146
CFS,CFSv2,dynamical,2026-05-14,2026-06,1.3436743021011353,ens_E3_016,1,monthly,1991-2020,0.865721583366394,0.4779527187347412
CFS,CFSv2,dynamical,2026-05-14,2026-07,2.045100450515747,ens_E3_016,2,monthly,1991-2020,1.4773681163787842,0.5677323341369629
CFS,CFSv2,dynamical,2026-05-14,2026-08,2.6684789657592773,ens_E3_016,3,monthly,1991-2020,2.008976459503174,0.6595025062561035
CFS,CFSv2,dynamical,2026-05-14,2026-09,2.9198153018951416,ens_E3_016,4,monthly,1991-2020,2.240166664123535,0.6796486377716064
CFS,CFSv2,dynamical,2026-05-14,2026-10,3.1912708282470703,ens_E3_016,5,monthly,1991-2020,2.5678622722625732,0.6234085559844971
CFS,CFSv2,dynamical,2026-05-14,2026-11,3.2055165767669678,ens_E3_016,6,monthly,1991-2020,2.4024603366851807,0.8030562400817871
CFS,CFSv2,dynamical,2026-05-14,2026-12,2.745467185974121,ens_E3_016,7,monthly,1991-2020,1.904572606086731,0.8408945798873901
CFS,CFSv2,dynamical,2026-05-14,2027-01,2.2964141368865967,ens_E3_016,8,monthly,1991-2020,1.3978822231292725,0.8985319137573242
CFS,CFSv2,dynamical,2026-05-14,2027-02,2.1730191707611084,ens_E3_016,9,monthly,1991-2020,1.232674241065979,0.9403449296951294
CFS,CFSv2,dynamical,2026-05-14,2026-06,1.3855266571044922,ens_E3_017,1,monthly,1991-2020,0.9845430254936218,0.40098363161087036
CFS,CFSv2,dynamical,2026-05-14,2026-07,2.0115175247192383,ens_E3_017,2,monthly,1991-2020,1.603501796722412,0.40801572799682617
CFS,CFSv2,dynamical,2026-05-14,2026-08,2.4549994468688965,ens_E3_017,3,monthly,1991-2020,2.002127170562744,0.45287227630615234
CFS,CFSv2,dynamical,2026-05-14,2026-09,2.7334156036376953,ens_E3_017,4,monthly,1991-2020,2.1512603759765625,0.5821552276611328
CFS,CFSv2,dynamical,2026-05-14,2026-10,2.9909677505493164,ens_E3_017,5,monthly,1991-2020,2.4835355281829834,0.507432222366333
CFS,CFSv2,dynamical,2026-05-14,2026-11,3.4034838676452637,ens_E3_017,6,monthly,1991-2020,2.812654733657837,0.5908291339874268
CFS,CFSv2,dynamical,2026-05-14,2026-12,3.3175251483917236,ens_E3_017,7,monthly,1991-2020,2.6443424224853516,0.6731827259063721
CFS,CFSv2,dynamical,2026-05-14,2027-01,2.7277770042419434,ens_E3_017,8,monthly,1991-2020,1.9241596460342407,0.8036173582077026
CFS,CFSv2,dynamical,2026-05-14,2027-02,2.506622552871704,ens_E3_017,9,monthly,1991-2020,1.7841243743896484,0.7224981784820557
CFS,CFSv2,dynamical,2026-05-14,2026-06,1.4987040758132935,ens_E3_018,1,monthly,1991-2020,1.0977202653884888,0.4009838104248047
CFS,CFSv2,dynamical,2026-05-14,2026-07,1.8850510120391846,ens_E3_018,2,monthly,1991-2020,1.379689335823059,0.5053616762161255
CFS,CFSv2,dynamical,2026-05-14,2026-08,2.365760326385498,ens_E3_018,3,monthly,1991-2020,1.8081159591674805,0.5576443672180176
CFS,CFSv2,dynamical,2026-05-14,2026-09,2.6608052253723145,ens_E3_018,4,monthly,1991-2020,2.0135068893432617,0.6472983360290527
CFS,CFSv2,dynamical,2026-05-14,2026-10,2.931283473968506,ens_E3_018,5,monthly,1991-2020,2.2311525344848633,0.7001309394836426
CFS,CFSv2,dynamical,2026-05-14,2026-11,3.0696802139282227,ens_E3_018,6,monthly,1991-2020,2.396284580230713,0.6733956336975098
CFS,CFSv2,dynamical,2026-05-14,2026-12,3.1452856063842773,ens_E3_018,7,monthly,1991-2020,2.426496744155884,0.7187888622283936
CFS,CFSv2,dynamical,2026-05-14,2027-01,2.94343900680542,ens_E3_018,8,monthly,1991-2020,2.195006847381592,0.7484321594238281
CFS,CFSv2,dynamical,2026-05-14,2027-02,2.493460178375244,ens_E3_018,9,monthly,1991-2020,1.6841439008712769,0.8093162775039673
CFS,CFSv2,dynamical,2026-05-14,2026-06,1.3290735483169556,ens_E3_019,1,monthly,1991-2020,0.9648499488830566,0.3642235994338989
CFS,CFSv2,dynamical,2026-05-14,2026-07,1.96627676486969,ens_E3_019,2,monthly,1991-2020,1.5865058898925781,0.3797708749771118
CFS,CFSv2,dynamical,2026-05-14,2026-08,2.5783205032348633,ens_E3_019,3,monthly,1991-2020,2.138611078262329,0.4397094249725342
CFS,CFSv2,dynamical,2026-05-14,2026-09,2.6540865898132324,ens_E3_019,4,monthly,1991-2020,2.2545952796936035,0.3994913101196289
CFS,CFSv2,dynamical,2026-05-14,2026-10,3.1722214221954346,ens_E3_019,5,monthly,1991-2020,2.7731053829193115,0.39911603927612305
CFS,CFSv2,dynamical,2026-05-14,2026-11,3.5394198894500732,ens_E3_019,6,monthly,1991-2020,3.0471460819244385,0.49227380752563477
CFS,CFSv2,dynamical,2026-05-14,2026-12,3.1351563930511475,ens_E3_019,7,monthly,1991-2020,2.645390748977661,0.48976564407348633
CFS,CFSv2,dynamical,2026-05-14,2027-01,2.712843418121338,ens_E3_019,8,monthly,1991-2020,2.1134696006774902,0.5993738174438477
