date,soi,wind_wpac,wind_cpac,wind_epac
1980-02-01,0.30,-0.30,-1.60,0.60
1980-03-01,-0.40,-4.40,-4.60,1.40
1980-04-01,-0.60,-3.80,-1.90,1.50
1980-05-01,-0.00,-3.30,-2.40,1.80
1980-06-01,-0.00,-3.20,-1.20,2.30
1980-07-01,-0.00,-2.30,0.60,2.40
1980-08-01,0.40,-1.50,2.80,2.40
1980-09-01,-0.50,-1.80,2.70,2.60
1980-10-01,0.00,-0.70,3.30,3.30
1980-11-01,-0.30,-1.30,2.00,1.70
1980-12-01,-0.10,0.20,2.40,2.00
1981-01-01,0.40,-0.70,1.90,2.70
1981-02-01,-0.20,-3.20,-1.00,3.10
1981-03-01,-1.30,-2.40,0.50,1.40
1981-04-01,-0.10,-3.60,-0.80,2.30
1981-05-01,0.80,1.20,2.10,2.50
1981-06-01,1.20,-1.20,1.10,1.60
1981-07-01,0.80,0.30,3.10,2.60
1981-08-01,0.70,1.30,1.30,0.30
1981-09-01,0.30,0.40,4.40,3.30
1981-10-01,-0.40,0.50,1.60,1.40
1981-11-01,0.20,1.80,2.30,2.50
1981-12-01,0.50,-1.80,1.50,2.10
1982-01-01,1.20,-0.10,0.80,1.20
1982-02-01,0.30,-1.40,-0.80,2.10
1982-03-01,0.60,-3.00,-0.90,2.10
1982-04-01,0.10,-1.90,-1.50,0.00
1982-05-01,-0.30,-2.20,-2.10,0.50
1982-06-01,-1.00,-3.30,-1.60,1.10
1982-07-01,-1.50,-5.00,-1.60,1.20
1982-08-01,-1.70,-6.00,-1.90,1.80
1982-09-01,-1.70,-5.20,-5.00,-1.00
1982-10-01,-1.70,-4.30,-6.40,-0.70
1982-11-01,-2.60,-5.60,-8.50,-2.50
1982-12-01,-2.20,0.70,-8.10,-4.10
1983-01-01,-3.50,-1.70,-7.40,-4.40
1983-02-01,-3.60,-0.30,-6.70,-4.50
1983-03-01,-2.40,-1.30,-8.60,-6.00
1983-04-01,-0.90,-0.20,-7.80,-5.00
1983-05-01,0.60,-0.80,-4.90,-6.30
1983-06-01,0.00,-1.10,-2.20,-2.20
1983-07-01,-0.60,0.30,-0.10,-0.80
1983-08-01,0.10,1.30,1.90,1.50
1983-09-01,0.90,1.00,2.60,2.50
1983-10-01,0.40,0.70,2.70,2.90
1983-11-01,-0.10,-0.20,0.60,1.70
1983-12-01,0.00,1.10,2.60,2.50
1984-01-01,0.20,3.00,2.40,1.80
1984-02-01,0.90,4.20,2.30,-0.40
1984-03-01,-0.20,3.10,-1.30,-0.60
1984-04-01,0.30,4.20,1.70,0.10
1984-05-01,0.20,3.00,1.30,1.80
1984-06-01,-0.30,0.10,1.80,3.60
1984-07-01,0.20,0.70,1.60,3.30
1984-08-01,0.40,0.10,1.40,1.40
1984-09-01,0.10,0.90,0.30,0.30
1984-10-01,-0.30,-0.40,3.00,2.60
1984-11-01,0.30,-0.70,1.70,1.10
1984-12-01,-0.10,-0.90,1.90,3.50
1985-01-01,-0.30,-2.60,-0.70,1.40
1985-02-01,1.20,1.50,4.00,3.70
1985-03-01,0.80,-3.30,1.90,3.40
1985-04-01,1.20,0.60,1.90,2.80
1985-05-01,0.40,0.40,2.60,4.20
1985-06-01,-0.40,-0.70,1.10,2.00
1985-07-01,-0.10,0.00,0.10,0.80
1985-08-01,1.00,1.40,1.60,1.60
1985-09-01,0.00,0.80,2.10,2.20
1985-10-01,-0.40,0.30,-0.10,-0.40
1985-11-01,-0.20,-1.20,-0.90,1.20
1985-12-01,0.20,-0.80,-0.90,0.50
1986-01-01,1.00,0.20,1.50,2.80
1986-02-01,-1.00,-1.40,-0.60,1.40
1986-03-01,0.50,2.70,2.80,2.40
1986-04-01,0.30,-1.70,0.90,2.30
1986-05-01,-0.20,-2.80,0.10,1.00
1986-06-01,1.00,-0.40,1.60,2.10
1986-07-01,0.30,-1.20,-0.90,0.70
1986-08-01,-0.40,-0.80,-1.90,-0.50
1986-09-01,-0.50,-2.40,-1.10,0.80
1986-10-01,0.60,-0.90,-1.10,-0.90
1986-11-01,-1.20,-3.30,-2.60,0.10
